Count of DC_LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,albanais,"algonquiennes, langues",allemand,"altaïque, langue (autre)",anglais,arabe,aucun contenu linguistique,azéri,bengali,biélorusse,bulgare,catalan,chinois,coréen,cree,créole haîtien,créoles et pidgins divers,"créoles et pidgins français, autre",croate,danois,espagnol,espéranto,français,frioulan,galicien,géorgien,grec ancien (jusqu'à 1453),grec moderne (1453- ),hébreu,hongrois,indéterminé,"indiennes d'Amérique du Nord, autres",inuktitut,"iroquoises, langues",italien,japonais,judéo-espagnol,kabyle,langage par signes,languedocien (après 1500),latin,letton,lituanien,macédonien,malais,micmac,multilingue,néerlandais,norvégien,occitan (après 1500),ourdou,persan,polonais,portugais,roumain,russe,rwanda,sami du Nord,sanskrit,serbe,"slaves, autres langues",slovène,suédois,swahili,tagalog,tamoul,tchèque,tibétain,turc,ukrainien,vietnamien,wolof,yiddish,(blank),Grand Total
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration publique et science militaire,,,,,81,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471
Agriculture,,,1,,73,,,,,,,,,,,,,,,,1,,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958
Allemand et langues germaniques,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Anglais et vieil anglais,,,1,,833,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,959
Animaux (Zoologie),,,,,85,,,,,,,,,,,,,,,,7,,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030
Architecture,,,2,,109,,,,,,,,,,,,,,,,2,,332,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,449
Art du paysage et urbanisme,,,,,12,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
Arts et loisirs,,,,,198,,1,,,,,,,,,,,,,,5,,987,,,,,,,2,,,2,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1202
Arts graphiques,,,,,21,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,94
"Associations, organisations et musées",,,,,10,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Astronomie,,,1,,23,,,,,,,,,,,,,,,,1,,162,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
Autres langues,,20,,,17,,,,,,,,,,2,,,,,,,,47,,,,,,,4,,,4,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,103
Autres littératures,,15,,,36,3,,,,,,,9,,,,,,,,,1,257,,,,,,,,,2,10,,,,,1,,,,,,,,10,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,348
Autres religions,,,4,,82,1,,,,,,,2,,,1,,,,,7,,863,,,,,,,,1,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,969
Bâtiments et construction,,,,,5,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
Bibliographies,,,,,2,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Bibliothéconomie et sciences de l'information,,,,,43,,,,,,,,,,,,,,,,2,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
Biographie et généalogie,,,2,,593,,,,,,,,1,,,,,,,,29,,6603,,,,,,,,,,,,9,,,,,,,,,,,,,2,,,,,,1,10,1,,,,,,,,,,,,,,1,1,,,,7253
Chimie,,,,,11,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
Christianisme et théologie chrétienne,,,,,72,,,,,,,,,,,,,,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,661
Citations,,,,,5,,,,,,,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
"Commerce, communications et transports",,,,,124,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440
Confessions chrétiennes,,,,,54,,,,,,,,,,,,,,,,3,,183,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,243
Congrès,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coutumes, étiquette et folklore",,,,,145,,,,,,,,,,,,1,,,,63,,997,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1214
Dessin et arts décoratifs,,,5,,611,,,,,,,1,,,,,,,1,,14,,2483,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3120
Droit,,,,,202,1,,,,,,,1,,,,,,,,,,2074,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2282
Écoles de pensée philosophiques,,,,,10,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Économie,,,1,,420,3,,,,,,,1,,,,,,,,16,,2788,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,3234
Éducation,,,,,164,,,,,,,,,,,,,,,,4,,2939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107
Encyclopédies et livres de renseignements,,,,,4,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
Épistémologie,,,,,34,,,,,,,,,,,,,,1,,,,222,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,259
Espagnole et portugais,,,,,8,,,,,,,,,,,,,,,,42,,26,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,78
Fabrication industrielle,,,,,8,,,,,,,,,,,,,,,,11,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
Fabrications de produits à usages particuliers,,,,,9,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
Fossiles et vie préhistorique,,,,,14,,,,,,,,,,,,,,,,7,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
Français et langues romanes,,,1,,68,1,,,,,,,,,,2,,,,,,,6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6150
Génie chimique,,,,,15,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Géographie et voyages,,,3,,206,,,,,,,,,,,,,,,,4,,5005,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5222
Gestion de la vie familiale,,1,,,299,,,,,,,1,,,,,,,,,6,,3710,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4019
Gestion et relations publiques,,,,,192,,,,,,,,,,,,,,,,2,,2670,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866
Grec classique et moderne,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Histoire de l'Afrique,,,,,24,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,119
Histoire de l'Amérique du Nord,,2,3,,590,,,,,,,,,,,,,,,,7,,3071,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3678
Histoire de l'Amérique du Sud,,,,,5,,,,,,,,,,,,,,,,3,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,36
Histoire de l'Asie,,,1,,48,,,,,,,,3,,,,,,,,4,,122,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,179
Histoire de l'Europe,,,,,81,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,379
